Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
8/21/2019,91.17700195,106.3021469,145.9868622,28.26800919,59.57899857,117.3664169,94.59585571,183.5500031,28.06896019,107.2973862
8/22/2019,90.23300171,106.4918137,146.4676514,28.31777954,59.57600021,117.1344223,95.57162476,182.0399933,28.23799896,107.49543
8/23/2019,87.48100281,103.0321121,138.5961151,27.91963768,57.67900085,113.9756241,93.19812775,177.75,27.64233017,105.6051178
8/26/2019,88.4434967,103.3573151,142.1689148,28.41731262,58.55899811,114.892601,93.94535065,180.3600006,28.04480934,107.4054184
8/27/2019,88.09149933,102.4178543,141.4996185,28.76568604,58.54100037,116.5467529,92.95201111,181.3000031,27.64233017,108.5125885
8/28/2019,88.21250153,103.7547684,143.9695129,28.88388634,58.6875,115.6837234,93.88381958,181.7599945,28.23799896,109.27771
8/29/2019,89.31999969,106.3834076,147.5140381,29.08295441,59.7120018,115.2881546,96.01114655,185.5700073,28.43924332,109.0796738
8/30/2019,88.8144989,107.4945068,146.0340424,29.40022469,59.5265007,115.3960419,96.5737381,185.6699982,28.6163311,108.2245331
9/3/2019,89.49199677,105.7149658,142.17836,29.81080246,58.47750092,115.7376938,95.43094635,182.3899994,29.07515907,109.2417068
9/4/2019,90.03099823,107.5848236,143.0268097,29.86057091,59.11349869,115.8455505,96.58253479,187.1399994,28.84172058,110.9069595
9/5/2019,92.03600311,111.0987244,147.3443909,29.93522263,60.60950089,115.5938263,98.78019714,190.8999939,29.25225067,110.501915
9/6/2019,91.67549896,110.8367462,147.5517731,29.93522263,60.31600189,115.2612152,98.99118042,187.4900055,29.3810482,110.6009293
9/9/2019,91.56749725,114.9468307,149.2863464,29.87923431,60.26350021,114.1284637,101.4437332,188.7599945,29.64667702,109.9708176
9/10/2019,91.02749634,117.6929169,154.6408844,30.07829857,60.28499985,116.4658585,102.7359772,186.1699982,30.08940887,107.9095001
9/11/2019,91.14949799,120.2222061,155.6873016,30.31469727,61,117.922226,103.0172729,188.4900055,30.113554,109.1607056
9/12/2019,92.17749786,119.0117645,153.9055786,29.785923,61.74850082,117.2569809,103.6501999,187.4700012,30.00891113,110.5109177
9/13/2019,91.96700287,120.8455048,155.9418182,29.40644455,62.00149918,117.57164,105.6896133,187.1900024,29.71108437,109.9258194
9/16/2019,90.39199829,120.2763977,155.1593628,29.47487259,61.58150101,116.4568558,104.7490234,186.2200012,29.64667702,107.79245
9/17/2019,91.12750244,119.3911514,154.5937195,29.41888046,61.49399948,116.5737381,104.2303772,188.0800018,29.3810482,109.0616989
9/18/2019,90.8730011,118.3975143,155.904068,29.82324791,61.63249969,117.2390137,105.2764587,188.1399994,29.28444481,109.2867126
9/19/2019,91.07499695,117.5393524,155.0179749,29.73615456,61.9375,116.9692993,104.9424133,190.1399994,29.3890934,109.7277756
9/20/2019,89.70800018,115.7688751,154.6691437,30.14051437,61.49200058,118.3537674,104.5204773,189.9299927,29.53398323,110.0338211
9/23/2019,89.26499939,116.0037308,155.7438507,30.05342102,61.73450089,118.4346924,104.5028915,186.8200073,29.17175293,110.9159851
